content,keywords,rating,satisfaction,date,year,month,season,text_len
요즘 책을 읽을 여유가 없어서 계속 미루고있다가 새벽에 심심해서 읽기 시작했는데 눈 깜짝 할 사이에 다 읽어버렸네요 읽는 내내 지금까지 꿨던 꿈 중에 기억에 남았던 것들 회상도 하고 실제로 내가 잠든 동안에 꿈 백화점에 간 적이 있을수도 있는거 아닐까 하는 상상의 나래도 펼쳐보았어요 넘 잘읽었습니다,요즘 읽다 여유 없다 계속 미루다 새벽 심심하다 읽다 시작 깜짝 사이 읽다 버리다 읽다 내내 지금 끄다 기억 남다 회상 실제 잠들다 동안 백화점 아니다 상상 나래 펼치다 보다 넘다 읽다,5,Positive,2020-11-07,2020,11,Fall,167
이제 자기 전에 오늘은 무슨 꿈 꾸지 생각해보게 되요,이제 자기 오늘 무슨 꾸다 생각 해보다 되다,5,Positive,2020-11-05,2020,11,Fall,29
행복합니다,행복하다,5,Positive,2020-11-04,2020,11,Fall,5
즐거운 꿈을 기대하게 만들어 주네요,즐겁다 기대하다 만들다 주네,5,Positive,2020-11-04,2020,11,Fall,19
어릴적 신나는 꿈을 꾸고 나면 다음날 밤에도 그 꿈을 꾸었으면 좋겠다라도 한번쯤 생각해 보셨을겁니다 이 공간에서는 그 소망이현실이 되네요 흥미로운 소재이네요,어리다 신나다 꾸다 나다 다음 꾸다 좋다 한번 생각 보다 겁니다 공간 소망 현실 되다 흥미롭다 소재,5,Positive,2020-11-01,2020,11,Fall,87
이 책을 읽는 동안 행복하고 또 행복했습니다 행복한 시간을 선물해 주셔서 감사드립니다 작가님,읽다 동안 행복하다 행복하다 행복하다 시간 선물 주다 감사 드리다 작가,5,Positive,2020-10-31,2020,10,Fall,51
잘 읽히고 재밌어요 지금 내 삶에대해 한번 생각해보게 됩니닺,자다 읽히다 재밌다 지금 대해 한번 생각 해보다 됩니닺,5,Positive,2020-10-31,2020,10,Fall,33
읽기 쉬운 판타지 소설입니다 아껴 읽는다고 했는데 이틀만에 다 읽어서 너무 아쉬웠어요 영화로 나오면 너무 좋을 거 같아요 밝고 화려하고 사랑스러운 해리포터같은느낌,읽다 쉽다 판타지 소설 이다 아끼다 읽다 이틀 읽다 너무 아쉽다 영화로 나오다 너무 좋다 같다 밝다 화려하다 사랑스럽다 해리포터 같다 느낌,5,Positive,2020-10-29,2020,10,Fall,90
어른을 위한 동화 다 읽고 나서도 이야기들이 주위를 맴도는 느낌,어른 동화 읽다 나서다 이야기 주위 맴도 느낌,5,Positive,2020-10-29,2020,10,Fall,35
무심코 제목에 이끌려 읽었는데 정말 좋았습니다 당장 꿈꾸로 가고 싶네요,무심코 제목 이끌다 읽다 정말 좋다 당장 꿈꾸다 가다 싶다,5,Positive,2020-10-29,2020,10,Fall,39
뭔가 약간 히가시노 게이고 작가님의 나미야 잡화점의 기적처럼 마음이 따뜻해지고 몽글몽글 피어오르는 기분이 들어요,뭔가 약간 가시다 게이고 작가 나미 잡화 기적처럼 마음 따뜻하다 몽글몽글 피어 오르다 기분 들다,5,Positive,2020-10-28,2020,10,Fall,62
너무 재미있게 읽었어요 강추,너무 재미있다 읽다 강추,5,Positive,2020-10-26,2020,10,Fall,15
요즘 우울했었는데 이 책읽고 기분이 좋아졌어요 오랜만에 마음이 따뜻해지는 자꾸 웃음이나오는 책을 찾았네요 몇번 더 읽어야겠어요,요즘 우울하다 읽다 기분 좋아지다 마음 따뜻하다 자꾸 웃음 오다 찾다 몇번 읽다,5,Positive,2020-10-23,2020,10,Fall,70
동화같은 이야기 주책맞게 마지막엔 눈물이 마음이 따뜻해집니다,동화 같다 이야기 주책 맞다 마지막 눈물 마음 따뜻하다 지다,5,Positive,2020-10-22,2020,10,Fall,33
평소 독서취향과 좀 거리가있어서 미뤄뒀다가 읽은책 생각보다 재미있고 상상하게되는 장면이 생기는 책입니다,평소 독서 취향 거리 미루다 두다 읽다 생각 재미있다 상상 되다 장면 생기다 이다,5,Positive,2020-10-22,2020,10,Fall,57
꿈에 대한 상상력을 발휘하면서 소설 속에서 일하는 기분 꿈 속인것처럼 재미있다,대한 상상력 발휘 소설 기분 속이다 재미있다,5,Positive,2020-10-21,2020,10,Fall,43
정말 재밌게 읽었습니다 남은 페이지가 줄어가는게 아쉬울 정도로,정말 재밌다 읽다 남다 페이지 줄다 아쉽다 정도,5,Positive,2020-10-20,2020,10,Fall,34
