rating, date, content
"2","2022.01.06","소재도 흥미롭고 글도 잘 읽혀 가볍게 읽기 좋음. 다만 내가 판단하기에 설정이 허술하거나 설정오류 같은 부분이 있고 소재가 참신한 만큼 더 치밀하게 계획했으면 하는 아쉬움이 있음. 캐릭터도 전반적으로 평면적인 편. 꿈 세계 이야기는 재미있지만 현실 세계 이야기는 텐션이 떨어지는 편(꿈과 현실의 상호작용이 크지 않아서 그런듯)"
"5","2022.01.06","처음 읽었을 때 소재는 흥미로웠지만 솔직히 아주 재밌다는 아니였어요 그러다 2권을 읽고 다시 1권을 읽었는데 훨씬 재밌었고 특히 먼저 떠나는 가족이 남은 가족들에게 남기는 꿈에 대한 에피소드에서는 실제 이런 세상이 있으면 얼마나 좋을까 싶었고요.. 삶에 지친 사람들에게 위로와 안식을 주는 이야기라고 생각됩니다"
"4","2022.01.04","기대한 만큼 재미있진 않았어요. 작은 에피소드들이 모여 나중에 뭔가 커다란 그림을 이룰거라는 기대를 했는데, 그냥 소소한 에피소드로 끝나버리네요. 비유나 은유가 인물의 감정을 표현하거나 미래에 대한 암시 같은 게 아니라서 그런 것도 살짝 아쉬웠습니다. 스토리 전체가 뭔가 딱 맞아 떨어진다는 느낌은 들지 않았습니다. 그러나 그냥 간단히 읽기에는 나쁘지 않은 책입니다. 베스트셀러로 잠깐 떴다가 잊혀지는 딱 그런 책입니다."
"4","2022.01.02","영화로 나오면 어떨까 생각해 봤어요"
"2","2022.01.02","초반에만 흥미진진하고 중간에 가면 너무 지루해서 안읽혀요..."
"4","2022.01.02","중반이후 조금 지루했지만 재밌게 잘 읽었습니다."
"1","2022.01.01","재미드럽게 없네 누구좀 따라해보려고 한거같은데 재미드럽게 없음 내시간은 소중해"
"5","2021.12.30","판타지 속의 현실이 느껴지는 작품 ,2권도 읽고 싶어요"
"4","2021.12.28","2권 먼저 보고 1권도 찾아 읽었어요. 간만에 재밌게 본 책입니다. 2권은 더 재밌어요."
"5","2021.12.26","너무 재밌게읽었어요! 의도치않게 힐링도 되고, 눈물이 글썽이기도 했어요. 다만 루시드드림을 꾸는 그 여인을 다시 만나기위해 10년이든 20년이든 기다릴거라는 스토리가 더 궁금해요! 그 이야기로 2권 만들어주시면 안되나요. 꿈속의 여자, 꿈속의 남자 정말ㅜㅜ 아련하고 궁금해요"
"5","2021.12.26","2권도보고싶어요ㅠㅠㅠㅠ"
"1","2021.12.18","베스트셀러라는 기대감에 실망감이 컸던 소설"
"5","2021.12.16","순식간에 다 읽었어요 거리감있는 먼 세계인줄 알았더니 가까운 옆나라 이야기 같은 느낌이네요"
"5","2021.12.11","신선한 소재에 무겁지 않은 이야기라 술술 읽어나갔어요"
"4","2021.12.08","잼써요 창의적이네요 근데 약간은 지루한구석이 좀일어요"
"5","2021.12.08","창의적으로 풀어낸 꿈에 관한 이야기. 편하게 읽다 위로도 받는 가볍지만 와닿는 어른들의 동화."
"5","2021.12.06","와오 이렇게 한 번에 쭉 읽을 수 있는 책은 드문데, 진짜 몰입감으로 인하여 한 번에 쭉 읽었네요 진짜 재미있습니다"
"5","2021.12.05","매일 꿈을 꾸는데 달러구트네 백화점의 단골이었을지도 모르겠네요 전"
"5","2021.12.04","소설가님들 보면 어떻게 이런 생각을 하지? 궁금해요. 너무 재미있게 잘봤습니다"
"5","2021.12.03","신선한 소재로 동화를 읽는 듯 따뜻함이 가득한 소설이다 문장도 깔끔해서 쉽고 편안하게 읽을 수 있다  가벼운 마음으로 순식간에 읽을 만한 책을 찾는다면 추천!"
"3","2021.12.01","소재는 신선하고 읽기도 수훨해서 금방읽었습니다.  다만 특별히 감동이 있거나 맘에 와닿는 부분은 없었네요. 기분전환용으로 간단히 읽기에 좋았습니다."
"5","2021.12.01","슥슥 읽기좋고 재밌었어요 약간의 번역투도 흥미로움을 더해줌"
"3","2021.11.29","그저그랬음 평범~~ 소재는 신선한데 에피소드가 뭔가 식상?하달까...마지막 에피소드 후에 갑자기 이게 끝? 이런 생각도 들고...ㅎ  읽은게 후회되고 그럴정도는 아니고 리셀로 읽은건 괜찮다 정도였습니다"
"5","2021.11.28","소재가 신선해서 좋았어요 왠지 오늘 꿈 백화점에 들릴지도 모르겠네요(과몰입"
"5","2021.11.24","어른들을 위한 동화 침대 머리맡에 두고 잠들기 전 가볍게 읽기 좋은 책"
"5","2021.11.22","공공장소에서 보지 마세요 지하철에서 읽다가 특정 에피소드에서 울뻔함"
"5","2021.11.22","어른의 동화란 느낌이 들었습니다. 어린시절을 생각하고, 지금의 내 감정들을 꿈을 통해서 다시 들여다 보는 계기가 되었습니다."
"5","2021.11.20","소설을 잘 안읽는 편인데 너무 잘 읽히고 재밌었습니다. 외국에서 흔히 쓰일 법한 이름의 등장인물들이 나와서 외국 작가분이 쓰신 줄 알았는데 한국 작가분이셨네요!!! 앞으로도 흥하시길 바랍니다~"
"5","2021.11.10","드라마로 나오면 좋을 듯 합니다~^^"
"5","2021.11.08","재미있게 봤어요  생각해보니 꿈을 꾼게 언제인지 싶네요"
"5","2021.11.01","유치한듯 하면서도 좋네요. 읽는 내내 행복 했어요"
