rating,date,content,content_len,content_preprocess,content_word_count,year,month,sentiment,bow_가다,bow_가볍다,bow_감동,bow_기분,bow_꾸다,bow_내용,bow_동화,bow_따뜻하다,bow_마음,bow_마지막,bow_많다,bow_백화점,bow_사람,bow_상상,bow_상상력,bow_생각,bow_소재,bow_술술,bow_시간,bow_신선하다,bow_어른,bow_이렇다,bow_읽히다,bow_작가,bow_잔잔하다,bow_재미있다,bow_재밌다,bow_좋다,bow_추천,bow_한국
4,2021-06-09,잠자기 전에 잔잔한 음악과 함께 노란빛 모드등 켜놓고 침대에서 읽다가 자기 좋은 책이에요.....딱 나른한 느낌??,64,잠자다 전 잔잔하다 음악 노랗다 빛 모드 켜다 침대 자기 좋다 나른하다,15,2021,6,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,2021-06-05,신선한 소재의 무난한 동화,14,신선하다 소재 무난 동화,4,2021,6,neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2021-05-31,재미있게 읽었습니다. 마음이 따뜻해지는 판타지 소설이네요.,32,재미있다 마음 따뜻하다 판타지 요,6,2021,5,positive,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2021-05-29,가볍게 읽을 수 있으면서 재미도 있었던 소설이네요!,28,가볍다 재미 요,7,2021,5,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-05-28,동화같네요 유치해요,10,동화 유치하다,2,2021,5,negative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-05-27,"처음에는 너무 취향이 아니고 오글거리는 부분이 많아서 중간정도 읽다가 포기했는데, 독서모임 선정책이라 ... 다시 포기하지 않고 다시 읽어보니 .. 나름 재밌는 구석들도 있네요 군데군데 설정에 모순되는 부분도 있어서 갸웃하기도 하고, 인물들도 작위적인 부분이 있으나, 꿈이라는 공간을 채우는 작가의 상상력이 귀여웠습니다~ 하지만, 역시나 성인대상으로 보기엔 유치한 구석이 많아서.. 성인이 아니라 초중생들을 위한 책 수준으로  에피소드들의 수위를 낮추고, 모순되는 부분들을 좀 더 세심하게 수정해서  초중생 대상의 이야기로 다시 발매되면 좋겠어요.",306,처음 취향 오글거리다 많다 중간 정도 포기 독서 모임 선 정책 다시 포기 다시 나름 재밌다 구석 군데군데 설정 모순 갸웃하다 인물 작위 꿈 공간 채우다 작가 상상력 귀엽다 역시 인대 보기 유치하다 구석 많다 성인 초중생 위 수준 에피소드 수위 낮추다 모순 세심 수정 초중생 대상 다시 발매 좋다,68,2021,5,negative,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
5,2021-05-26,"꿀잼. 쉴사이없이 다 읽었고, 다읽은 사실이 아쉬워요.",30,꿀잼 쉬다 사이 사실 아쉽다,7,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021-05-24,잔잔하고 따듯한 소설입니다.,15,잔잔하다 따다,3,2021,5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2021-05-23,따뜻한 이불 안에서 누워서 보면 나도 꿈백화점에 있는 상상이 든다.,37,따뜻하다 이불 안 눕다 나다 꿈 백화점 상상,10,2021,5,positive,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2021-05-20,오감을 떠올리며 볼수있는 맛있는 책,19,오감 떠올리다 맛있다,5,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-05-17,술술 재미있게 읽었습니다~ 그 와중에 욱컥 감정이 실리는 에피소드도 있었고~ 읽기 좋네요,49,술술 재미있다 와중 욱컥 감정 실리다 에피소드 좋다,12,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5,2021-05-17,항상 잠을 잘때 꾸는 꿈들에 대해 궁금했었는데 이 책을 읽으면서 정말 나도 꿈을 백화점에서 사 오는 걸까? 라는 생각도 들고 여러모로 재미있는 책인것 같아요.,88,항상 잠 때 꾸다 꿈 대해 궁금하다 나다 꿈 백화점 사 오다 걸다 생각 모로 재미있다,24,2021,5,positive,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2021-05-16,"다양한 꿈에 관한 소재도 너무 좋고, 에피소드들도 울림을 주는 좋은 내용들이였습니다~ 재밌게 잘읽었어요",57,다양하다 꿈 관 소재 좋다 에피소드 울림 주다 좋다 내용 들이다 재밌다,13,2021,5,positive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
5,2021-05-16,한국에 이런 소설이 있었나 감탄하며 읽었습니다.,26,한국 이렇다 감탄,6,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
