rating,date,content
5,2020.10.16,"와
책잘안보는데 이건정말 너무재밌네요
몽글몽글
정말 처음이에요 책읽으면서 이런감정드는거
작가님 작품활동 많이하셔서
좋은작품많이보고싶어요
감사하네요정말"
5,2020.10.15,"한글자 한글자가 전부 예뻐보이는 힐링책 이네요.
잠들기전에 책보시는분들 필독서
오늘도 꿈꾸러갑니다~"
5,2020.10.12,"동심으로 돌아가는 기분이었어요. 유치하지도 않아서 부담없이 편하게 읽을 수 있었어요. 표지가 조금 동화같아서 살까말까 고민을 많이 했는데, 저와 같은 고민을 하는 분이 계시다면 더 깊이 생각하지 말고 사세요!! 꿀잼입니다 :)"
5,2020.10.04,"한동안 소설을 읽지 않았고, 국내 소설은 더더욱 읽지 않은 기간이 길었는데 모처럼 재미있는 책을 만났습니다.
주제가 신선하고 중간 중간 와닿는 문구가 있어요"
5,2020.09.28,오랫만에 마음이 좋아요 ^^
2,2025.01.09,"첫 스토리구성 시작할때는 괜찮았습니다. 제목이 주는 판타지 함도 있었구요. 근데 내용이 점점 갈수록 안읽히고 한국내용인지 외국내용인지 모르겠는 장면전환의 설정과 세계관이 너무 허술해서 판타지의 신비스러움이 부자연스럽습니다. 물론 전달하고자 하는 의미는 후반부로 갈수록 느껴지지만 , 정말 잠시뿐인 감동이에요..제생각엔 컨셉자체는 너무좋지만 이걸 풀어나가는 내용이 ...냉정하게 재미없습니다....한마디로 스토리가 많이 부실합니다. 그렇다고 호로록 읽히는 가독성이 좋은 책이냐? 그건 아닙니다 캐릭터 이해하느냐고 오래걸리더라구요 마지막으로는 독자들의 찬사가 문제인것같습니다. 대작인 해리포터를 비교해서 굉장히 기대를 많이한 책이였거든요 .. 시리즈로 한번에 다구매했는데 조금 후회됩니다. 많이 아쉽네요 1편은.."
2,2021.08.23,저만그런가요ㆍㆍ안읽혀요 ㅜㅜ 2편도 나왔네요ㆍ 시작하면 끝을봐야하는데ㆍㆍㆍ 안 읽혀요 ㅜㅜ 노력해볼께요ㆍ 끝맺지않음 찝찝함이 오래갈것같아서ㆍㆍㅜㄷㆍ
2,2021.07.04,"음 책이 너 과대평가된게 아닌가 싶네요.... 읽는 내내 아쉬웠습니다ㅠ 깊이 있지 않고, 그냥 조잡했어요. 따로 공감가는 내용도 없고... 하도 마케팅하는 책이길래 구매했는데 실망입니다. 그냥 겉만 핥다 끝나는 책같아요"
5,2020.12.30,"베스트셀러에 올라와있던 달러구트꿈백화점은 소재부터 정말 마음이 갔다. 잠들어야만 입장이 가능한 신비로운 마을이 있고, 그 곳에는 꿈을 살 수 있는 백화점이 있다니, 판타지 소설은 우리의 세상과 완전히 동떨어져 있을 때 보다, '우리도 어쩌면' 이라는 마음이 들때, 우리의 삶과 맞닿는 부분이 있을 때 더 깊이 빠지게 되는 것 같다.(기차를 타고 호그와트를 갈 수 있고, 머글들과 마법사가 함께 살아가는 해리포터 시리즈 처럼)
그리고 무엇보다 독자가 남긴 책 추천사를 읽고 바로, 장바구니에 담았었다. '호그와트 다음으로 가보고 싶은 환상의 세계를 선물했다' 라니,
호그와트를 사랑하는 한 사람으로, 꼭 확인해 봐야 하는 문구라고 생각했던 것 같다. 혹은 '호그와트와 비교할 정도라면' 이라는 기대감도 있었다.
책을 읽으면서 그 동화같은 마을을 상상하는 재미도 있고, 소설에 나오는 다양한 캐릭터를 알아가는 재미도 있다. 우리 이야기가 담겨있어 웃고 울며 동화같은 이야기를 즐겁게 읽어가는 동안 '오늘밤 나는 백화점에서 어떤 꿈을 구매할까', '나는 오늘 어떤 꿈을 꾸게 될까' 하는 즐거운 생각이 들기도 했다.

책을 덮을 때가 되어서야 나는 책 표지를 다시 한 번 들여다 봤다. 제목뒤에 '1'이라든지, '상'이라든지, 후속편을 알리는 무언가가 빠져있다는 생각이 들었다. 잠들어야 닿을 수 있는 상상속 마을, 달러구트의 꿈 백화점, 너무나도 매력적인 캐릭터들의 이야기가 이것으로 끝일리가 없다는 생각을 했기 때문이다. 아직 우리에게 필요한 꿈들이 많이 남아있을 텐데, 후속편을 기다리게 되는 소설이다."
5,2020.12.27,"정말 최고네요ㅠㅠ!!
다 읽고나서 더 볼 수없다는게 아쉬울 정도로요..
이 책 읽고나서 꿈꾸고나면 괜히 소중하게 느껴지더라구요ㅋㅋ"
5,2020.12.27,새로운 취미의 첫 시작을 기분좋게 만들어주는 책인것같아요
5,2020.12.27,"미소를 띄우며 읽게 되는 책,
어른이 되어 꿈에 대해 다시 생각하게 해쥬는 책!"
5,2020.12.27,글이 한번 시작하면 끝까지 잘 읽힌다. 전체적 구성이 탄탄하다. 꿈을 자주 꾸고 기억하는 사람들에겐 공감의 글이고 그렇지 않은 사람에겐 상상력을 자극하는 판타지이다.
5,2020.12.26,"올해 최고의책 이라고 생각합니다
진짜최고"
5,2020.12.26,잘읽힙니다! 심심할때 시간가는줄모르고 읽었네요
5,2020.12.25,"군대에서 재미없는 책만 보다가
인생 처음으로 소설책을 구입해서 봤는데
상상속에서 나올법한 이야기를 잘풀어 나가면서
꿈이 라는 주제가 큰 호기심을 만든거 같습니다"
5,2020.12.25,서점에서 어쩌다 사서 읽게됐는데 정말 재밌었어요 요즘 판타지 드라마가 많이 나오는 추세인데 이 책을 원작으로 만든 드라마로 나오면 정말 잘어울릴거같은 내용이었어요 크리스마스에 잘어울리는 책이라 책선물할때도 부담없을책입니다
5,2020.12.24,"어른들을 위한 동화
위로와 웃음과 눈물과 현실, 그리고 꿈이 적절하게 섞인 이야기"
5,2020.12.24,선물을 받으신 분이 너무 좋아하네요 ^^
5,2020.12.24,아주 좋은책이네요` 힘든시기 큰 위로가 되었습니다^^ 모두에게 추천합니다! ㅎㅎ
5,2020.12.23,소설의 내용이 부러울 만큼 재밌습니다! 잠과 꿈에 대해 다시 생각해보게 됩니다! 방금 다 읽었는데 또 바로 읽게 만드는 책입니다!
5,2020.12.20,"한국식 뉴환타지소설인데 거부감이 전혀없이
술술읽히면서 잊었던꿈에 대한 새로운생각을줍니다."
5,2020.12.20,초4 아이에게 선물했어요. 작가의말만 읽었는데도 너무 설렌다며 죽죽 읽기 시작하더라고요. 끝나가는게 아쉽다고 아껴읽겠다고 하더니 결국은 못 아끼고 다 읽어버렸다네요.
5,2020.12.18,"살까말까 수차례 고민하다가 얼마전 매장갈일있어 간김에 바로드림으로 데려왔어요.
오자마자 그냥 한방에 읽어버렸어요.
시험끝나면 읽겠다고 두딸이 기다리는중입니다!"
5,2020.12.17,상상력의 끝판왕이네요~ 정말 재미있게 잘 읽었어요!!
5,2020.12.13,마음 따뜻해지고 위로되는 책이예요 꿈에대해서 다시한번 감사하게 생각하게 되었어요❣☺️
5,2020.12.02,처음 이 책을 봤을 때 제목이 신선해서 눈길이 가고 내용이 재밌어서 몇번 읽게되었습니다. 그동안 가끔식 또는 자주 꾸었던 꿈을 한 번도 깊게 생각해본적이 없었던 저로써는 너무 재밌었습니다. 심지어는 제가 기억에 남는 꿈 중에 하나가 책과 유사한 내용인 것을 발견했을 때는 놀라움을 감추지 못했습니다. 저처럼 신박하고 창의적인 소설책을 좋아하는 분들에게는 아주 딱 걸맞는 책일 것입니다. 읽다보면 시간 가는줄 모르고 계속 읽게됩니다. 그러나 저는 마지막 결말이 살짝 아쉬운 부분이 있었습니다. 끝나는 부분이 마침을 끝내지 못하고 뒤에 이어질꺼만 같은 기분을 주어서 찝찝한 느낌이 들었습니다. 하지만 앞 내용이 튼튼해서 그런지 이런 기분도 금방 사그러들었습니다. 이미예 작가님 다른 책들도 읽어 보고싶습니다.
5,2020.12.02,"꿈이라는 단어는 잠깐자다깬 잠시 동안 머무르는세계라고 생각한다. 근데 그꿈을 통해서 미래도 현재도 과거도 누릴수 있는 나만의 세계란걸 이책을 통해 알게되었다. 과거는 잊고 싶은 날,현재는 미래가 오는 두려움, 미래는 나의 나중의 모습을 나타내서 난 싫었지만 이책을 통해서 꿈이라는 단어가 생소하지만 내게는 또다른 꿈과 모든걸을 보여줄수있는 모든거라고 생각했다. 달라구트 꿈백화점 강력추천 ~~^^ 처"
5,2020.12.02,꿈에 대한 기발한접근에 놀랐습니다. 계절적으로나 시기적으로도 읽기 좋은 책이었습니다. 뻔할 수 있는 내용들도 있었지만 책 내용과 잘 어우러졌다고 생각합니다. 잘 읽었습니다 :)
5,2020.11.20,역시 베스트셀러
5,2020.11.18,후...진짜 오만과펀견 이후로 제 인생소설 만났습니다. 상상하면서 읽는 재미가 있고 작가님의 꿈에 대한 아이디어가 돋보이는 책입니다. 읽는내내 너무 재밌고 술술 읽혀서 한장 한장 넘기는게 아까울 정도에요ㅠㅠ 추천합니다��⭐️⭐️⭐️⭐️⭐️
5,2020.11.17,시간 가는 줄 모르고 한 권을 금방 읽어버렸어요 묘사된 문장 하나하나 상상력이 높아지는 느낌 :)
5,2020.11.15,너무재밌어서 조금씩 꼼꼼히 아껴읽고있어요 판타지 너무 좋아하는데 외국책을 번역한게 항상아쉬웠어요 근데 이건 작가님이 한국분이시니깐 억색한 부분없이 너무 술술 잘 읽혀요ㅠ 정말 아껴서보려고 노력중이에요ㅠㅠ
5,2020.11.15,책을 읽는 동안 행복했어요. 창의적이고 독특한 구성도 좋았지만 일상의 이야기와 자연스럽게 녹아내리며 따뜻한 위로를 전해주는 책이었어요. 왜 어른들을 위한 동화라고 하는지 와 닿았습니다. 잔잔한 감동이 밀려드는 따뜻한 시간이었습니다. ㅠㅠ
5,2020.11.14,"이 책은 쉽고 잘 읽히는 책이며, 처음으로 리뷰하게 만든 책이네요
꿈을 사고 판다는 내용이 참신했으며 소소한 감동도 있고, 캐릭터들의
스타일도 좋았어요ㅎㅎ속편도 나왔으면 좋겠고 영화로도 나오면 어떨까하는 생각을 하게해준 소설이었어요^^좋은 꿈..잘 봤어요!"
5,2020.11.13,처음엔 그냥 환타지적인건가 싶었는데 읽을수록 마음에 남는 무언가가 있습니다. 가볍지만 집중하게 만드는 누구에게나 추천할만한 책입니다!
5,2020.11.12,"따뜻하고 위로가 돼요. 처음부터 끝까지 따뜻한데, 유치하지 않아 좋았네요"
5,2020.11.11,읽고나서 정말 오랜만에 내안에 소년을 마주했다.
5,2020.11.11,딸아이와 함께 읽으려고 주문했어요.딸아이가 먼저 읽고 있는데 너무나 재미있다고 하네요.
5,2022.11.22,와이프한테 선물하려고 구매했어요
2,2021.10.08,하아~ 괜히 샀다.
5,2021.07.20,"지인이 추천 하길래 구매했습니다
표지가 이쁘네요 ㅋ"
5,2021.04.08,"책 속 내용처럼 꿈을 꾸고 난 후에 요금을 지불하는 후불제처럼 지금 리뷰를 작성하는 건 이 책을 읽고난 후 지불하는 제 읽음가격입니다.

31의 나이에서 아직도 생각으로만 흩어진 것들이 이 책을 통해서 말로 표현할 수 있게 되는 게 있어 너무 좋았습니다.

기발하다라는 기분으로 책 요금을 크게 지불하고 싶네요.
부담이실 수 있는데 다음 작품 기대하겠습니다.

일주일 조금 넘게 병원에 입원해서 마음이 어두워질 무렵
좋은 책으로 수술도 이겨내고 있습니다. 감사합니다."
4,2021.03.14,"줄거리에 이끌려 주문했는데, 내용에 집중을 못하겠더라고요. 그래도 꾸준히 읽어보려해요."
4,2021.02.27,한국의 해리포터라고 불리는 베스트셀러라길래 기대가 많이 컸어요. 그런데 기대가 커서 그랬는지는 모르겠지만 그 정도는 아닌듯 싶어요. 재미 없는건 아니지만 제가 읽었던 책들 중에 더 재미있는 책들이 많은듯 싶어요.
3,2021.01.31,"냉정하게는 50점 정도... 책 좀 읽어본 분들이면 부족한 문장력이 조금 아쉽게 느껴지실 거에요. 한국에서 이만한 판타지 소설이 나온건 박수쳐줄만 하지만, 첫 설정을 제외하고 상상되는 무드는 어디선가 본듯한 것을 흉내낸 느낌이긴 합니다. 그럼에도 잘 읽히긴 해요. 너무 큰 기대 없이 가볍게 청소년 소설정도 수준으로 읽을 법 합니다. 아주 무겁지 않으면서 나쁘지 않는 소재라 가벼운 지인 선물용으로는 좋을 것 같아요."
5,2020.11.29,좋은 소설~ 이유가 있다 1위는
3,2020.11.09,"빨리 읽으셨다눈분들 많으신데, 저는 진도를 못빼고 있네요^^ 잘 안읽히지만, 다시한번 도전해볼께욥"
4,2020.10.28,3년 정도 책 읽기가 힘들었는데 이 책은 순식간에 잘 읽었습니다.
4,2020.10.22,꿈을 사고 판 다는게 참 생소하면서도 신선해서 구입해 읽었는데 신규직원이 채용되고 에피소드들이 엮어서 구성된 소설이였는데 꿈에 대해 삶에 대해 다시 한번 생각해보게 하는 감동과 재미가 있는 책이였어요.
4,2020.09.15,소재가 독특하고 캐릭터들도 각자 특성이 있어서 즐겁게 읽었어요! 에피소들이 하나하나 따뜻해서 좋았습니다!
5,2022.11.27,재미있어 시간 가는줄 몰라요
5,2021.08.11,"저희 언니가 "" 니 저책 재밌나보네 니 원래 책 다 안읽잖아 근데 이번엔 다 읽겠다 "" 라고 말할정도로 진짜 재밌었어요ㅠㅠ 사실 제가 꿈을 진짜 안꾸는편이라서 내가 이책에 공감을 할까? 이랬는데 그래도 전부터 사고싶었던 책이라 샀는데 진짜 너무 재밌고ㅠㅠ 그래서 오늘 2권도 구매했습니다 !!! 진짜 현실속에서도 달러구트 백화점이 있다면 좋을것같다는 생각을 했어요 이 각박한 현실속에서 저런 꿈이라도 꾸면 그래도 좀 낫지않을까 생각을 잠시 했습니다 !! 작가님 또 다른작품도 내주세요ㅠㅠㅠㅠ 너무 재밌어서 가족들과 친구들에게도 추천한 책입니다 ���� 감사합니당 !!"
4,2021.08.10,전 아직 읽어보지 못했지만 6학년 아들은 재미있다네요
5,2021.08.04,현실이 어렵고 힘든 사람들이 잠에 들어 꿈을 꾸고 꿈을 펼치게 된다는 이야기. 흥미롭고 따뜻하다. 2편도 어서 읽고 싶다!
5,2021.07.12,"가벼운 마음으로 읽기 좋아요. 인생을 되돌아보게 된다거나, 새로운걸 알게 되는 그런 류의 책은 아니에요. 딱히 악역도 없고, 아름다운 세상에 즐거운 하루를 보내는 페니에게 빙의해 기분좋게 읽을 수 있는 그런 책입니다."
5,2021.07.05,정말 특별한 엄청난 에피소드가 있는 것도 아닌데 정말 시간 가는 중 모르고 책을 읽게되었던 것 같아요 정말 최고.. 완전 추천합니다
5,2021.06.10,가볍게 읽을 수 있어요 많이 들은 내용인것 같지만 또 아닌것도 같은 그런 책인것 같아요
5,2021.05.25,"E북으로 생각지않게 읽었는데
따뜻하고 기발한 착한 소설
너무 잘 읽었어요~^^"
5,2021.05.13,호불호가 있을것 같아요. 좋아하는 분야라면 나쁘지 않을것 같아요.
4,2021.05.02,동화같고 순수합니다. 스트레스 안 받고 술술 읽었어요
5,2021.04.12,저는 제 상황들과 여러면에서 공감가는 부분이 많아서 너무 좋았어요 많이 생각하지 않고 편안하게 읽을 수 있는 책 이였습니다!
5,2021.04.12,"쉬운 내용으로 잘 읽혔어요~
낮잠자거나 밤잠자기전에 상상도 많이 하게되고~
내용 자체는 쉬웠네용!
후기가 안좋은 후기도 많은데 저는 나름 만족했어요
킬링타임용으로 소소하게 읽을수 있던 책이었습니다~"
5,2021.04.09,내용이 재밌다고 들어서 의심하며 읽었는데 진짜 재밌고 고휸도 주는 내용이네요 이십대의 내가 읽기에는 너무 영한가 했는데 그것도 아니였어요 추천합니다
5,2021.04.01,책을 쳐다도 안보다가 시간 여유가 많이 생기게 되어 문득 생각나서 끌리는 대로 장바구니에 담은 책들 중 하나 담겨진 책들 중에서 제일 먼저 읽게 되었어요 가볍게 기분 좋게 자기전에? 읽기 좋은 책 저도 꿈을 사고 싶네용
5,2021.03.29,"꿈을 믿는사람 안믿는사람중 나는 꿈을 믿는 사람,,
꿈을 꾸고 싶은것만 꾸면 얼마나 좋을까라는 생각도하며 읽고 읽으면서 작은 위로를 많이 받았다. 무엇보다 책장을 넘길때마다 더 집중하고 보게되는 마약같은 책 !! 강추!!!"
5,2021.03.22,동화처럼 술술 읽히는 책이에요 ~ 간만에 좋은 책 집중하며 읽었어요^^
5,2021.03.03,아직 읽어보지는 않았지만 기대하고 있어요
5,2021.02.15,꿈꾸지않아도 신비로운 꿈을 꾸는 듯한 세계
4,2021.02.05,"크게 공들여 집중하지 않아도 술술 잘 읽히는 책이었습니다. 후기에서 본 것처럼 분위기를 몽글하게 만드는 판타지 소설이에요. 다만 저는 크게 인상깊지는 않았습니다. 매력적인 세계관이긴 하나, 크게 감동받을만한 한 부분이 없어서 아쉬웠습니다."
4,2021.02.05,"주위추천으로 구입했는데
너무재미있네요.
지루하지도 않구요.
중딩조카에게도 권했네요"
5,2021.02.05,꿈이라는 평범한 소재를 재미있게 다룬 소설로 마치 진짜로 일어나는 것이 아닐까라는 동화적인 상상을 유발한다.
5,2021.01.28,"앉은 자리에서 끝까지 다 읽었습니다.
책을 많이 읽진 않고 읽어야지 하는 타입이라 책에 오래 집중 하기 어려워하는데 끝까지 집중해서 다 읽었네요
다른 책 같은 경우엔 책읽다 다른 짓 하고 반복 하는데 그렇지도 않았어요~
자기 전에 나도 꿈백화점을 들리는 고객일까~? 라는 기분 좋은 상상을 하며 잠에 든답니다"
5,2021.01.28,자기 전에 괜시리 꿈의 세계속으로 들어간다고 생각하니 설레더라구요...ㅎㅎㅎㅎ정말 아무생각없던 '잠'이라는 것에 대해 설레임을 느끼게 해주는 책인것 같아요!! 잘 읽히고 따뜻하고 귀여운 책! 추천합니다~
5,2021.01.25,잘읽히고 독특해요. 늘 꿔오던 꿈들을 다른관점에서 해석할 수 있어서 재밌었고 감동도 있네요. 전 연령층을 사로잡는 책이 아닐까 싶습니다.
5,2021.01.23,어릴 때 재밌는 책 보면 뒤에 남은 부분 마저 읽고 싶어서 ‘빨리 집에 가서 읽어야지’ 했던 기억이 있어요. 어른이 되면서 그런 느낌 못 받을 줄 알았는데 오랜만에 이 책 덕분에 설렘을 느꼈어요 :) 자고 일어나면 다음날 혼자 마음 속으로 꿈 가격을 슬쩍 지불 하기도 하고요 ㅎㅎㅎ 2편도 준비중이라는데 완전 기대되요!!❤️
4,2021.01.22,초반엔 지루하게 시작하는감이 없지않아있는데 중간부턴 제법 잘읽히네요.
5,2021.01.21,"이 책을 고른 이유는 1번째 베스트셀러이라서, 2번째는 저자가 공대생 출신이라서 입니다. 저도 공대생이지만 책이라는 것을 써보고 싶었는데 이분의 글을 읽어보고 싶었습니다. 1장을 읽으며 확~ 와닿지 않았고 이책이 베스트셀러 인가?도 싶더라구요. 틈틈히 책을 읽었습니다.
꿈은 우리의 일상이니 뻔한 소재임은 분명합니다. 그러나 중간이상을 읽어가다보니 평범한 이야기가 오히려 정말 꿈을 파는 곳이 있을까 착각이 들더라구요. 평범함 속에 특별함이 있었습니다.

저는 소설책을 선호하는 편은 아니나 이책은 재미보단 꿈의 세계를 상상 할 수 있어 좋았습니다. 확 빨려들어가는 책은 아니지만 소소한 상상력을 펼칠수 있습니다. 베스트셀러가 되기엔 충분한 책입니다."
