rating,date,content
3,2020-11-29,소재는 좋지만 생각보다 흥미로운 내용은 아니에요
3,2020-11-24,저에게는 큰 재미는 없었습니다
3,2020-11-18,초반엔 내용에 대한 호기심에 좀 읽히는데 중반 넘어가니 책장이 안넘어가네요.
2,2021-10-22,그냥 그랬어요
2,2021-03-16,소재는 참신하나...뭔가 용두사미 느낌...
1,2021-08-12,책은 완독하지 않아도 된다는 걸 깨우쳐줌에 감사함. 펼쳐보지도 않은 2편 환불 안되나요?ㅠ
5,2021-10-28,그다지....
5,2021-06-11,남편이 읽고 싶어해서 주문. 왜 베스트셀러인지는 궁금하다. 근데 사고나니 리커버 ㅜ
5,2020-12-24,재밋습니다.순식간에읽어내려감
5,2020-12-24,어른이읽어도재밌어요~
5,2020-12-22,재밌게 잘 봤습니다.
5,2020-12-18,초등아이도 즐겁게 읽을 수 있는 책이에요^^
5,2020-12-15,동화같은 따뜻한 판타지 좋아하는데 딱 제가 원하던 소설이고 이야기도 재밌었어요 ㅠㅠ
5,2020-12-10,단순한 판타지 소설이라 생각했으나 심신에 위안을 주는 따뜻한 책
5,2020-12-05,간만에 마음 따뜻해지는 책을 읽었어요
5,2020-12-04,너무 무겁지 않아서 좋아요~
5,2020-12-03,현실로 존재했으면..
5,2020-11-30,꼭 보세요 재밌습니다ㅠㅠ
5,2020-11-29,조금 어린 내용이지만 재미있네요
5,2020-11-19,어른들을 위한 동화. 이마를 탁 치게 되는 상상력에 웃음이 절로 나온다
5,2020-11-12,진짜 한장한장이 너무 아까워서 빨리 읽기 싫은 책
5,2020-10-29,참신합니다  꿈을 이렇게 해석할 수 있다니 감동입니다
5,2020-10-28,함께 읽으면 좋은 책
5,2020-10-24,아들이 잼있어 보인다고해서 구매해요 재미있겠죠~~
5,2020-10-15,꿈을 소재로 한 책이라기에 호기심에 구입했는데 기대 이상으로 재미있게 읽고 있어요.
5,2020-10-12,Good!!!
5,2020-09-19,평점이 좋아서 너무 기대되요
5,2020-09-01,재밌어요!
4,2022-01-21,발상이 정말 신선하다. 읽고 있으면 몽글몽글한 사랑스러운 느낌이 가득하다.^^
4,2021-09-27,읽기전인데 리뷰보고 놀랐네요 1은 읽을만하다고 친구에게 소개받았는데... 읽어봐야지요
4,2021-09-08,초중고대를 아우르는 소설. 카르페디엠이 생각난다
4,2021-08-16,"좀 유치한가 싶었지만, 몇몇 에피소드는 눈물이 ㅜ 다 읽기도 전에 이미 2권 구매함.."
4,2021-07-07,잘받았습니다감사합니다
4,2021-07-07,아직 읽지 못했어요. 제목의 호기심? 재미 있을듯해서 그만ㅋㅋ
4,2021-06-24,내용이 재미있어 금방 다 읽었어요~
4,2021-06-07,꿈은 쓸모없는 거라 생각했던 내 생각을 완전히 바꾸어준 신선한 변화를 준 책!
4,2021-05-27,어른들을 위한 동화
4,2021-05-25,큰딸아이가 재미있다고 하네요
4,2021-05-24,평온해지는 이야기  재미있게 읽었어요.
4,2021-04-17,잘 봤네요
4,2021-04-14,무난하게 잘 봤습니다
4,2021-04-11,가독성짱~~!  재미 200배
4,2021-04-10,"기발한 상상력, 유머와 위로!"
4,2021-04-08,잘 받았어요~  재밌을 것 같아요
4,2021-02-05,꿈을 사고 판다는 설정이 독특하고 신선하다.
4,2021-02-04,연휴에 몰아읽으려고 구매했습니다!
4,2021-01-25,한 편의 동화같은 이야기. 왠지 겨울분위기와 어울리는 책
4,2021-01-20,재밌게 잘 봤습니당
4,2020-12-30,꿈 백화점이라는 설정이 특이해서 책을 읽자마자 그 자리에서 다 읽어버렸다
4,2020-10-24,표지만 봐도 꿈이 이루어 질 것 같네요...
4,2020-10-17,재밌어요!!!!
4,2020-08-20,좀 찍혀서 구겨져서 와서 별하나뺍니다 재밌게 볼게요!
3,2021-08-10,마음이 왠지 따뜻해지는..
3,2021-08-06,마지막까지 읽어야하는 책이네요. 꿈은 소중하니까.
